SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
220,5651,24905,58141,292.8172,122.7006
221,5703,24905,58141,292.7825,122.7006
222,5739,24905,58141,292.6493,122.7005
223,5740,24905,58141,292.3194,122.7005
224,5802,24905,58141,292.3184,122.4081
225,5803,24905,58141,291.3416,122.4078
226,5852,24905,58141,291.0750,122.4072
227,5871,24905,58141,290.7806,122.4055
228,5951,24905,58141,290.7578,122.4053
229,5966,24905,58141,290.3032,122.4050
230,5990,24905,58141,290.3027,122.4045
231,6020,24905,58141,290.2053,122.4040
232,6036,24905,58141,289.8739,122.4029
233,6101,24905,58141,289.7831,122.4028
234,6136,24905,58141,289.7341,122.4027
235,6176,24905,58141,288.6299,122.4014
236,6208,24905,58141,288.5116,122.3997
237,6256,24905,58141,288.4786,122.3978
238,6314,24905,58141,287.9927,122.2435
239,6366,24905,58141,287.6555,122.2432
240,6369,24905,58141,287.6156,122.2429
241,6370,24905,58141,287.2062,122.2429
242,6413,24905,58141,287.1321,122.2429
243,6474,24905,58141,286.9176,122.2428
244,6512,24905,58141,286.6273,122.2428
245,6542,24905,58141,286.6195,122.2408
246,6573,24905,58141,286.6125,121.4807
247,6622,24905,58141,285.0145,121.4786
248,6630,24905,58141,284.9576,121.4786
249,6683,24905,58141,284.9147,121.4758
250,6734,24905,58141,283.9783,121.4190
251,6759,24905,58141,283.7958,121.4183
252,6796,24905,58141,283.6065,121.4157
253,6798,24905,58141,283.5746,121.4151
254,6855,24905,58141,283.5550,121.4119
255,6876,24905,58141,282.3883,120.2579
256,6900,24905,58141,281.5034,117.2102
257,6923,24905,58141,275.8735,117.2084
258,6995,24905,58141,275.8264,117.2083
259,6998,24905,58141,275.8247,117.2081
260,7007,24905,58141,275.6440,117.2081
261,7020,24905,58141,275.5317,117.2026
262,7083,24905,58141,274.0085,117.1998
263,7083,24905,58141,273.9928,117.1997
264,7145,24905,58141,273.7702,117.1987
265,7177,24905,58141,273.6800,117.0651
266,7192,24905,58141,272.9428,113.7732
267,7235,24905,58141,267.3807,113.7732
268,7277,24905,58141,266.9390,113.7700
269,7316,24905,58141,266.7941,113.7686
270,7335,24905,58141,266.5182,113.7199
271,7340,24905,58141,260.3271,113.7199
272,7402,24905,58141,260.2880,113.7173
273,7402,24905,58141,260.1587,113.5550
274,7402,24905,58141,246.9168,113.5550
275,7443,24905,58141,246.4682,113.5550
276,7452,24905,58141,246.3388,113.5550
277,7476,24905,58141,246.2097,113.5542
278,7497,24905,58141,246.1180,113.5542
279,7512,24905,58141,246.0652,113.5534
280,7514,24905,58141,245.9663,110.1926
281,7538,24905,58141,241.6344,110.1926
282,7552,24905,58141,241.4991,110.1921
283,7572,24905,58141,241.0950,108.9841
284,7620,24905,58141,239.6632,108.9840
285,7690,24905,58141,239.6111,108.8804
286,7727,24905,58141,239.3391,108.8802
287,7771,24905,58141,237.9102,108.8787
288,7822,24905,58141,237.8427,108.8780
289,7822,24905,58141,237.8358,108.8780
290,7826,24905,58141,236.9944,107.7365
291,7836,24905,58141,234.7075,107.7284
292,7847,24905,58141,234.6884,107.7222
293,7856,24905,58141,234.6740,107.7166
294,7932,24905,58141,234.6610,107.6568
295,7951,24905,58141,234.5689,107.6303
296,7954,24905,58141,234.5100,107.6303
297,8018,24905,58141,234.4321,107.4850
298,8070,24905,58141,234.1341,107.4303
299,8108,24905,58141,234.0070,107.4302
300,8118,24905,58141,233.9211,106.5722
301,8119,24905,58141,233.0302,105.8679
302,8128,24905,58141,232.0383,104.6795
303,8135,24905,58141,228.9720,104.6795
304,8193,24905,58141,228.8860,104.5835
305,8220,24905,58141,228.5340,104.5789
306,8227,24905,58141,228.5262,104.5789
307,8258,24905,58141,228.5262,104.5771
308,8284,24905,58141,228.4764,104.5759
309,8293,24905,58141,228.3480,104.5697
310,8323,24905,58141,228.3322,102.5846
311,8327,24905,58141,225.0743,102.5846
312,8351,24905,58141,225.0268,102.5846
313,8378,24905,58141,223.8683,102.5845
314,8403,24905,58141,223.7465,102.5844
315,8425,24905,58141,223.5999,102.4530
316,8469,24905,58141,223.4437,102.4513
317,8490,24905,58141,223.1001,102.3176
318,8498,24905,58141,222.4483,102.3176
319,8539,24905,58141,222.2676,101.9094
320,8580,24905,58141,221.7781,101.8013
321,8605,24905,58141,221.3238,100.2500
322,8631,24905,58141,218.2198,100.1554
323,8672,24905,58141,218.0978,100.1354
324,8705,24905,58141,217.8622,100.1353
325,8710,24905,58141,217.3982,100.1352
326,8745,24905,58141,216.7071,100.0064
327,8761,24905,58141,213.2232,98.9060
328,8796,24905,58141,212.0952,98.8677
329,8797,24905,58141,211.8477,98.8677
330,8811,24905,58141,211.2380,98.8675
331,8840,24905,58141,211.0646,98.2263
332,8855,24905,58141,209.0976,98.2256
333,8885,24905,58141,208.5050,98.2254
334,8885,24905,58141,208.3992,98.2253
335,8913,24905,58141,208.3677,98.2252
336,8950,24905,58141,207.9084,98.0096
337,8971,24905,58141,207.2317,97.6303
338,8983,24905,58141,206.8500,96.7313
339,8990,24905,58141,205.7986,96.7295
340,9017,24905,58141,204.9584,96.7294
341,9077,24905,58141,204.8855,96.4627
342,9111,24905,58141,204.5893,96.4617
343,9135,24905,58141,204.5768,96.4617
344,9138,24905,58141,204.4955,96.4617
345,9152,24905,58141,203.5082,96.1224
346,9179,24905,58141,202.4431,96.0803
347,9185,24905,58141,202.3743,96.0793
348,9185,24905,58141,202.3556,96.0793
349,9219,24905,58141,201.9503,95.7183
350,9246,24905,58141,201.3961,95.7183
